Parl,PCT
E14000863,E16000125
E14000864,E16000125
E14000941,E16000125
E14000952,E16000125
E14000717,E16000126
E14000981,E16000126
E14001022,E16000126
E14000613,E16000127
E14000624,E16000127
E14000761,E16000127
E14000946,E16000127
E14000981,E16000127
E14001034,E16000127
E14000590,E16000128
E14000594,E16000128
E14000693,E16000128
E14000729,E16000128
E14000910,E16000128
E14000642,E16000129
E14000644,E16000129
E14000734,E16000129
E14001045,E16000129
E14000590,E16000130
E14000628,E16000130
E14000806,E16000130
E14000910,E16000130
E14001045,E16000130
E14000544,E16000131
E14000594,E16000131
E14000888,E16000131
E14000933,E16000131
E14000995,E16000131
E14000536,E16000132
E14000619,E16000132
E14000670,E16000132
E14000700,E16000132
E14000704,E16000132
E14000852,E16000132
E14000927,E16000132
E14000948,E16000132
E14000530,E16000133
E14000545,E16000133
E14000680,E16000133
E14000685,E16000133
E14000699,E16000133
E14000713,E16000133
E14000736,E16000133
E14000811,E16000133
E14000827,E16000133
E14000828,E16000133
E14000844,E16000133
E14000857,E16000133
E14000901,E16000133
E14001041,E16000133
E14000538,E16000134
E14000550,E16000134
E14000608,E16000134
E14000631,E16000134
E14000742,E16000134
E14001056,E16000134
E14000539,E16000135
E14000742,E16000135
E14000873,E16000135
E14000874,E16000135
E14001015,E16000135
E14001046,E16000135
E14000586,E16000136
E14000803,E16000136
E14000830,E16000136
E14000889,E16000136
E14000890,E16000136
E14001048,E16000136
E14000586,E16000137
E14000803,E16000137
E14000907,E16000137
E14000930,E16000137
E14001042,E16000137
E14000630,E16000138
E14000705,E16000138
E14000712,E16000138
E14000980,E16000138
E14000990,E16000138
E14000991,E16000138
E14000599,E16000139
E14000600,E16000139
E14000601,E16000139
E14000602,E16000139
E14000635,E16000140
E14000665,E16000140
E14000860,E16000140
E14000912,E16000140
E14000954,E16000140
E14000595,E16000141
E14000932,E16000141
E14000988,E16000141
E14001026,E16000141
E14001060,E16000141
E14000638,E16000142
E14000815,E16000142
E14000839,E16000142
E14000936,E16000142
E14001031,E16000142
E14000584,E16000143
E14000585,E16000143
E14000815,E16000143
E14000881,E16000143
E14000616,E16000144
E14000837,E16000144
E14000938,E16000144
E14000961,E16000144
E14000964,E16000144
E14001003,E16000144
E14000623,E16000145
E14000678,E16000145
E14000698,E16000145
E14000835,E16000145
E14000838,E16000145
E14000950,E16000145
E14000996,E16000145
E14001000,E16000145
E14001001,E16000145
E14000820,E16000146
E14000891,E16000146
E14000762,E16000147
E14000578,E16000148
E14000579,E16000148
E14000580,E16000148
E14000571,E16000149
E14000807,E16000149
E14000808,E16000149
E14000809,E16000149
E14001059,E16000149
E14000606,E16000150
E14000739,E16000150
E14000744,E16000150
E14000745,E16000150
E14000749,E16000150
E14000845,E16000150
E14000951,E16000150
E14000960,E16000150
E14000968,E16000150
E14001021,E16000150
E14001027,E16000150
E14000812,E16000151
E14000931,E16000151
E14000554,E17000001
E14000575,E17000001
E14000746,E17000001
E14001014,E17000001
E14000558,E17000002
E14000696,E17000002
E14000869,E17000002
E14000999,E17000003
E14001001,E17000003
E14000643,E17000005
E14000716,E17000005
E14000570,E17000006
E14000902,E17000006
